timestamp,open,high,low,close,volume,turnover,datetime
1702353600000,0.6519,0.6592,0.6349,0.6562,3178754.42,2057602.260281,2023-12-12 04:00:00
1702368000000,0.6562,0.6607,0.6329,0.6369,3712916.71,2398558.19877,2023-12-12 08:00:00
1702382400000,0.6369,0.6581,0.6202,0.6352,4657820.49,2989653.566941,2023-12-12 12:00:00
1702396800000,0.6352,0.6444,0.6198,0.6383,2957136.05,1872524.432272,2023-12-12 16:00:00
1702411200000,0.6383,0.6605,0.6325,0.6596,3956183.37,2554877.664839,2023-12-12 20:00:00
1702425600000,0.6596,0.6647,0.6187,0.6242,3853471.77,2477509.561153,2023-12-13 00:00:00
1702440000000,0.6242,0.6307,0.6054,0.6195,2428322.86,1509391.088558,2023-12-13 04:00:00
1702454400000,0.6195,0.628,0.6147,0.6165,1177160.89,732148.658521,2023-12-13 08:00:00
1702468800000,0.6165,0.6449,0.6149,0.6422,1315806.94,830955.685973,2023-12-13 12:00:00
1702483200000,0.6422,0.657,0.6346,0.6559,866393.16,557488.658526,2023-12-13 16:00:00
1702497600000,0.6559,0.6663,0.648,0.6529,1580242.88,1039172.550368,2023-12-13 20:00:00
1702512000000,0.6529,0.6544,0.6418,0.645,952824.81,617404.909465,2023-12-14 00:00:00
1702526400000,0.645,0.6541,0.642,0.6504,922824.47,598968.280579,2023-12-14 04:00:00
1702540800000,0.6504,0.6697,0.645,0.6687,2354176.77,1545823.286064,2023-12-14 08:00:00
1702555200000,0.6687,0.6703,0.6277,0.6487,2340599.31,1528835.42981,2023-12-14 12:00:00
1702569600000,0.6487,0.6644,0.6482,0.6507,1238543.78,810745.638075,2023-12-14 16:00:00
1702584000000,0.6507,0.6636,0.6464,0.6545,1020555.0,667708.129132,2023-12-14 20:00:00
1702598400000,0.6545,0.6556,0.6353,0.6479,1268533.74,817739.580845,2023-12-15 00:00:00
1702612800000,0.6479,0.6535,0.635,0.6355,1391526.17,895523.873877,2023-12-15 04:00:00
1702627200000,0.6355,0.6508,0.6329,0.6457,1181554.72,760961.342625,2023-12-15 08:00:00
1702641600000,0.6457,0.6472,0.6227,0.6303,1613545.02,1020920.759046,2023-12-15 12:00:00
1702656000000,0.6303,0.6436,0.6266,0.6359,1078007.68,684034.807406,2023-12-15 16:00:00
1702670400000,0.6359,0.64,0.6153,0.6177,1337571.34,842575.177379,2023-12-15 20:00:00
1702684800000,0.6177,0.6236,0.6001,0.6231,1483481.3,908226.243674,2023-12-16 00:00:00
1702699200000,0.6231,0.6252,0.6171,0.6211,793172.64,493144.492046,2023-12-16 04:00:00
1702713600000,0.6211,0.6351,0.6193,0.635,892679.63,561286.55923,2023-12-16 08:00:00
1702728000000,0.635,0.6439,0.6316,0.6415,1035832.72,659165.164308,2023-12-16 12:00:00
1702742400000,0.6415,0.6496,0.6287,0.6332,1161842.29,744763.799261,2023-12-16 16:00:00
1702756800000,0.6332,0.6394,0.6254,0.6326,695459.32,440474.209395,2023-12-16 20:00:00
1702771200000,0.6326,0.6365,0.6217,0.6241,729550.12,459393.05531,2023-12-17 00:00:00
1702785600000,0.6241,0.627,0.6078,0.6092,940859.06,579808.012081,2023-12-17 04:00:00
1702800000000,0.6092,0.6217,0.6067,0.6171,435887.49,268416.069201,2023-12-17 08:00:00
1702814400000,0.6171,0.6182,0.6049,0.6142,775880.25,473479.720672,2023-12-17 12:00:00
1702828800000,0.6142,0.6269,0.6108,0.6251,506795.55,314149.748478,2023-12-17 16:00:00
1702843200000,0.6251,0.6273,0.6064,0.6106,447170.5,275530.87406,2023-12-17 20:00:00
1702857600000,0.6106,0.6192,0.5841,0.5987,1844036.05,1104134.740507,2023-12-18 00:00:00
1702872000000,0.5987,0.6036,0.5905,0.5927,749535.08,449192.881317,2023-12-18 04:00:00
1702886400000,0.5927,0.598,0.5638,0.5832,2274106.21,1318067.738867,2023-12-18 08:00:00
1702900800000,0.5832,0.5951,0.5769,0.587,819784.35,480675.065749,2023-12-18 12:00:00
1702915200000,0.587,0.5995,0.5846,0.5973,647005.66,384534.398458,2023-12-18 16:00:00
1702929600000,0.5973,0.6105,0.5922,0.6105,1002150.39,605783.277588,2023-12-18 20:00:00
1702944000000,0.6105,0.6262,0.6053,0.6255,1327835.32,818313.859274,2023-12-19 00:00:00
1702958400000,0.6255,0.6624,0.6157,0.6473,2971818.71,1900082.127422,2023-12-19 04:00:00
1702972800000,0.6473,0.653,0.6275,0.6347,1533136.75,978843.940855,2023-12-19 08:00:00
1702987200000,0.6347,0.6493,0.6183,0.6424,1644544.35,1043757.620638,2023-12-19 12:00:00
1703001600000,0.6424,0.7189,0.6414,0.696,12134864.36,8256498.545011,2023-12-19 16:00:00
1703016000000,0.696,0.71,0.6703,0.6788,4831929.41,3348178.422242,2023-12-19 20:00:00
1703030400000,0.6788,0.6838,0.6445,0.6586,4503259.07,2975924.304954,2023-12-20 00:00:00
1703044800000,0.6586,0.7461,0.6526,0.7297,5899571.5,4081872.693157,2023-12-20 04:00:00
1703059200000,0.7297,0.7395,0.6864,0.7008,6424843.58,4519506.222678,2023-12-20 08:00:00
1703073600000,0.7008,0.7186,0.6924,0.7059,3553406.58,2496178.776172,2023-12-20 12:00:00
1703088000000,0.7059,0.7113,0.683,0.6836,3432765.65,2395454.572226,2023-12-20 16:00:00
1703102400000,0.6836,0.6901,0.6735,0.6878,1298731.01,886025.197459,2023-12-20 20:00:00
1703116800000,0.6878,0.6993,0.6745,0.6915,2436492.45,1674416.302469,2023-12-21 00:00:00
1703131200000,0.6915,0.7184,0.6896,0.7049,4199371.61,2952652.286133,2023-12-21 04:00:00
1703145600000,0.7049,0.7096,0.6915,0.703,2468658.2,1732910.915262,2023-12-21 08:00:00
1703160000000,0.703,0.7048,0.6706,0.6817,2533235.36,1742240.68858,2023-12-21 12:00:00
1703174400000,0.6817,0.6964,0.679,0.6923,1551850.87,1068362.017436,2023-12-21 16:00:00
1703188800000,0.6923,0.6978,0.685,0.688,1581189.07,1094296.012537,2023-12-21 20:00:00
