timestamp,open,high,low,close,volume,turnover,datetime
1702353600000,71.19,71.78,69.62,71.76,193275.442,13667277.45449,2023-12-12 04:00:00
1702368000000,71.76,72.21,70.5,70.63,216198.575,15451774.92788,2023-12-12 08:00:00
1702382400000,70.63,72.2,68.0,68.45,366387.532,25611604.93309,2023-12-12 12:00:00
1702396800000,68.45,68.77,65.74,67.6,319414.247,21516192.95423,2023-12-12 16:00:00
1702411200000,67.6,69.08,66.93,68.59,144825.574,9835102.95257,2023-12-12 20:00:00
1702425600000,68.59,68.76,65.09,65.47,318216.531,21288533.90276,2023-12-13 00:00:00
1702440000000,65.47,66.25,63.66,64.91,226184.917,14759141.17067,2023-12-13 04:00:00
1702454400000,64.91,66.62,64.8,65.4,153547.071,10125967.28006,2023-12-13 08:00:00
1702468800000,65.4,68.18,65.13,67.57,276287.539,18511616.60821,2023-12-13 12:00:00
1702483200000,67.57,70.58,66.78,70.34,218939.473,14980553.38961,2023-12-13 16:00:00
1702497600000,70.34,73.0,70.1,70.62,256589.046,18339297.13777,2023-12-13 20:00:00
1702512000000,70.62,71.1,69.68,70.08,130847.912,9170531.49519,2023-12-14 00:00:00
1702526400000,70.08,73.0,69.72,71.55,156518.788,11145232.8801,2023-12-14 04:00:00
1702540800000,71.55,73.69,70.79,73.51,277156.959,20046981.37596,2023-12-14 08:00:00
1702555200000,73.51,73.84,68.09,71.64,453423.865,32388011.38332,2023-12-14 12:00:00
1702569600000,71.64,74.49,71.63,73.28,286090.585,21037898.96511,2023-12-14 16:00:00
1702584000000,73.28,76.28,72.68,75.73,282144.986,21162559.00733,2023-12-14 20:00:00
1702598400000,75.73,75.87,74.0,74.37,184463.04,13803686.28552,2023-12-15 00:00:00
1702612800000,74.37,77.06,74.37,76.63,254363.113,19263131.23579,2023-12-15 04:00:00
1702627200000,76.63,79.27,76.17,79.14,301777.606,23520774.28863,2023-12-15 08:00:00
1702641600000,79.14,79.53,75.19,76.05,378923.594,29000550.57627,2023-12-15 12:00:00
1702656000000,76.05,77.46,73.55,76.93,311175.453,23498917.9472,2023-12-15 16:00:00
1702670400000,76.93,77.22,72.12,72.49,288818.584,21727770.06568,2023-12-15 20:00:00
1702684800000,72.49,74.38,71.23,74.21,193084.121,14116559.20798,2023-12-16 00:00:00
1702699200000,74.21,74.56,73.67,74.38,92043.696,6816167.3093,2023-12-16 04:00:00
1702713600000,74.38,75.17,73.78,75.16,97748.507,7261753.59091,2023-12-16 08:00:00
1702728000000,75.16,77.44,74.92,77.13,189067.034,14343941.54895,2023-12-16 12:00:00
1702742400000,77.13,77.18,73.76,74.15,172097.165,12993392.52305,2023-12-16 16:00:00
1702756800000,74.15,74.58,72.86,73.71,155940.483,11480523.9443,2023-12-16 20:00:00
1702771200000,73.71,74.14,72.59,73.53,85153.23,6250758.81042,2023-12-17 00:00:00
1702785600000,73.53,74.34,72.04,72.39,111640.372,8150569.35425,2023-12-17 04:00:00
1702800000000,72.39,73.31,71.85,73.06,92094.397,6697916.91507,2023-12-17 08:00:00
1702814400000,73.06,73.27,71.4,72.68,119634.691,8635560.3048,2023-12-17 12:00:00
1702828800000,72.68,75.07,72.25,73.55,166689.914,12320037.97906,2023-12-17 16:00:00
1702843200000,73.55,74.2,70.52,70.88,140116.72,10111255.4032,2023-12-17 20:00:00
1702857600000,70.88,71.96,68.59,69.94,208202.946,14603119.33118,2023-12-18 00:00:00
1702872000000,69.94,70.19,68.7,68.93,107143.025,7466874.65488,2023-12-18 04:00:00
1702886400000,68.93,69.93,66.95,69.01,273762.457,18686499.93203,2023-12-18 08:00:00
1702900800000,69.01,71.85,68.25,70.76,253485.235,17827528.89491,2023-12-18 12:00:00
